ISMAI;41.2688727;-8.6154784
Castêlo da Maia;41.2627125;-8.6170523
Mandim;41.2535835;-8.6283973
Zona Industrial;41.2439759;-8.628607
Fórum Maia;41.234561;-8.6240891
Parque Maia;41.2290893;-8.6269992
Custió;41.2223717;-8.6390667
Araújo;41.2168507;-8.6409922
Pias;41.2081803;-8.6473226
Cândido dos Reis;41.2006619;-8.6498253
Fonte do Cuco;41.1941884;-8.6559127
Senhora da Hora;41.1880888;-8.6545109
Sete Bicas;41.1823864;-8.6522296
Viso;41.1773131;-8.6466083
Ramalde;41.17288;-8.6418335
Francos;41.1655163;-8.6364114
Casa da Música;41.1605238;-8.6284756
Carolina Michaelis;41.1585387;-8.62226
Lapa;41.1571006;-8.616836
Trindade;41.1522641;-8.6093848
Bolhão;41.1497666;-8.6060366
24 Agosto;41.1488204;-8.5984131 
Heroísmo;41.1466855;-8.5931417
Campanha;41.1505649;-8.5859588
